202.0 163.0 146.0 105.0 117.0 96.0 
29.0 25.0 15.0 13.0 13.0 10.0 
72.0 56.0 39.0 27.0 33.0 27.0 
166.0 143.0 107.0 54.0 86.0 54.0 
81.0 67.0 53.0 31.0 42.0 31.0 
25.0 21.0 8.0 9.0 9.0 14.0 
9.0 9.0 5.0 2.0 1.0 1.0 
51.0 32.0 23.0 14.0 16.0 18.0 
33.0 20.0 15.0 11.0 16.0 6.0 
96.0 68.0 58.0 36.0 47.0 35.0 
133.0 92.0 72.0 48.0 57.0 50.0 
99.0 70.0 49.0 36.0 54.0 23.0 
199.0 178.0 130.0 85.0 103.0 89.0 
28.0 24.0 14.0 11.0 11.0 17.0 
101.0 95.0 40.0 58.0 56.0 47.0 
45.0 20.0 22.0 17.0 20.0 16.0 
57.0 43.0 20.0 20.0 31.0 21.0 
5.0 2.0 2.0 2.0 1.0 3.0 
277.0 217.0 177.0 118.0 145.0 98.0 
11.0 5.0 6.0 5.0 5.0 4.0 
58.0 38.0 26.0 24.0 19.0 15.0 
72.0 69.0 42.0 36.0 35.0 30.0 
244.0 192.0 166.0 113.0 131.0 106.0 
30.0 20.0 18.0 9.0 13.0 19.0 
33.0 35.0 20.0 11.0 13.0 15.0 
92.0 73.0 42.0 33.0 41.0 25.0 
71.0 40.0 35.0 20.0 30.0 29.0 
84.0 62.0 57.0 42.0 53.0 46.0 
22.0 26.0 15.0 7.0 13.0 11.0 
78.0 54.0 37.0 31.0 30.0 22.0 
65.0 48.0 32.0 15.0 28.0 20.0 
65.0 65.0 42.0 23.0 23.0 31.0 
118.0 66.0 51.0 42.0 39.0 44.0 
64.0 56.0 41.0 30.0 40.0 25.0 
18.0 15.0 11.0 11.0 8.0 6.0 
11.0 7.0 4.0 0.0 7.0 4.0 
111.0 82.0 66.0 43.0 56.0 46.0 
44.0 44.0 24.0 8.0 24.0 17.0 
82.0 52.0 29.0 35.0 25.0 28.0 
191.0 132.0 95.0 79.0 101.0 76.0 
88.0 63.0 49.0 36.0 34.0 46.0 
253.0 205.0 162.0 121.0 142.0 105.0 
52.0 47.0 28.0 22.0 17.0 20.0 
57.0 41.0 39.0 26.0 24.0 20.0 
27.0 13.0 23.0 10.0 12.0 8.0 
62.0 34.0 19.0 19.0 11.0 17.0 
262.0 179.0 132.0 81.0 107.0 86.0 
22.0 22.0 13.0 10.0 11.0 8.0 
108.0 96.0 63.0 56.0 53.0 45.0 
459.0 356.0 301.0 211.0 251.0 188.0 
48.0 43.0 25.0 17.0 17.0 18.0 
55.0 57.0 22.0 24.0 28.0 27.0 
47.0 37.0 39.0 18.0 19.0 14.0 
24.0 14.0 22.0 14.0 12.0 11.0 
128.0 89.0 61.0 48.0 45.0 35.0 
18.0 13.0 7.0 3.0 11.0 6.0 
64.0 84.0 60.0 31.0 51.0 23.0 
178.0 133.0 96.0 65.0 69.0 45.0 
79.0 63.0 39.0 17.0 31.0 37.0 
74.0 50.0 47.0 35.0 48.0 37.0 
31.0 18.0 16.0 16.0 11.0 5.0 
106.0 83.0 57.0 47.0 43.0 42.0 
41.0 36.0 19.0 17.0 19.0 25.0 
211.0 178.0 115.0 96.0 104.0 77.0 
50.0 22.0 37.0 16.0 29.0 21.0 
19.0 16.0 11.0 10.0 13.0 7.0 
27.0 24.0 22.0 11.0 10.0 12.0 
84.0 64.0 48.0 40.0 42.0 26.0 
37.0 19.0 14.0 9.0 15.0 8.0 
